doi	id	style	ref_string
10.1002/app.35676	6	acm-sig-proceedings	[1]Li, P. et al. 2011. Facile preparation of cationic P (St-BA-METAC) copolymer nanoparticles and the investigation of their interaction with bovine serum albumin. Journal of Applied Polymer Science. 125, 2 (Dec. 2011), 864–869.
10.1002/app.35676	6	iso690-author-date-en	LI, Penghui, HU, Xiaoxi, SONG, Gongwu, CHU, Paul K. and XU, Zushun, 2011, Facile preparation of cationic P (St-BA-METAC) copolymer nanoparticles and the investigation of their interaction with bovine serum albumin. Journal of Applied Polymer Science [online]. 28 December 2011. Vol. 125, no. 2, p. 864–869. DOI 10.1002/app.35676. Available from: http://dx.doi.org/10.1002/app.35676
10.2307/2382841	7	modern-humanities-research-association	Cieslik, Huber, and Josef Franz Schutte, ‘Valignanos Missiongrundasatze Fur Japan.’, Monumenta Nipponica, 15 (1959), 195 <doi:10.2307/2382841>
10.2307/2382841	7	american-chemical-society-author-date	Cieslik, H.; Schutte, J. F. Valignanos Missiongrundasatze Fur Japan. Monumenta Nipponica 1959, 15, 195.
10.2307/2382841	7	apa	Cieslik, H., & Schutte, J. F. (1959). Valignanos Missiongrundasatze fur Japan. Monumenta Nipponica, 15(1/2), 195. doi:10.2307/2382841
10.1038/ki.1995.249	8	turabian-fullnote-bibliography	Beeri, Ronen, Zvi Symon, Mayer Brezis, Samuel A. Ben-Sasson, Paul H. Baehr, Seymour Rosen, and Richard A. Zager. “Rapid DNA Fragmentation from Hypoxia Along the Thick Ascending Limb of Rat Kidneys.” Kidney International 47, no. 6 (June 1995): 1806–1810. http://dx.doi.org/10.1038/ki.1995.249.
10.1038/ki.1995.249	8	iso690-author-date-en	BEERI, Ronen, SYMON, Zvi, BREZIS, Mayer, BEN-SASSON, Samuel A., BAEHR, Paul H., ROSEN, Seymour and ZAGER, Richard A., 1995, Rapid DNA fragmentation from hypoxia along the thick ascending limb of rat kidneys. Kidney International [online]. June 1995. Vol. 47, no. 6, p. 1806–1810. DOI 10.1038/ki.1995.249. Available from: http://dx.doi.org/10.1038/ki.1995.249
10.1210/jcem-37-4-526	9	american-medical-association	1. SIEGEL SJ, LINE WF, YANG NS-T, KWONG A, FRANK C. Solid-Phase Triiodothyronine Radioimmunoassay. The Journal of Clinical Endocrinology & Metabolism. 1973;37(4):526–532. doi:10.1210/jcem-37-4-526.
10.1210/jcem-37-4-526	9	council-of-science-editors	1. SIEGEL SJ, LINE WF, YANG NS-T, KWONG A, FRANK C. Solid-Phase Triiodothyronine Radioimmunoassay. The Journal of Clinical Endocrinology & Metabolism [Internet]. 1973 October;37(4):526–532. Available from: http://dx.doi.org/10.1210/jcem-37-4-526
10.18356/f0edc904-en	10	chicago-annotated-bibliography	“Allocation of Resourcess and Problems of Imbalance” (December 31, 1958). doi:10.18356/f0edc904-en.
10.1111/j.1749-6632.1982.tb37444.x	11	council-of-science-editors	1. Zicha J, Křeček J, Dlouhá H. AGE-DEPENDENT SALT HYPERTENSION IN BRATTLEBORO RATS: A HEMODYNAMIC ANALYSIS. Annals of the New York Academy of Sciences [Internet]. 1982 October;394(1 The Brattlebo):330–342. Available from: http://dx.doi.org/10.1111/j.1749-6632.1982.tb37444.x
10.1111/j.1749-6632.1982.tb37444.x	11	turabian-fullnote-bibliography	Zicha, J., J. Křeček, and H. Dlouhá. “AGE-DEPENDENT SALT HYPERTENSION IN BRATTLEBORO RATS: A HEMODYNAMIC ANALYSIS.” Annals of the New York Academy of Sciences 394, no. 1 The Brattlebo (October 1982): 330–342. http://dx.doi.org/10.1111/j.1749-6632.1982.tb37444.x.
10.1111/j.1749-6632.1982.tb37444.x	11	american-sociological-association	Zicha, J., J. Křeček, and H. Dlouhá. 1982. “AGE-DEPENDENT SALT HYPERTENSION IN BRATTLEBORO RATS: A HEMODYNAMIC ANALYSIS.” Annals of the New York Academy of Sciences 394(1 The Brattlebo):330–42. Retrieved (http://dx.doi.org/10.1111/j.1749-6632.1982.tb37444.x).
10.1111/j.1749-6632.1982.tb37444.x	11	modern-language-association	Zicha, J., J. Křeček, and H. Dlouhá. “AGE-DEPENDENT SALT HYPERTENSION IN BRATTLEBORO RATS: A HEMODYNAMIC ANALYSIS.” Annals of the New York Academy of Sciences 394.1 The Brattlebo (1982): 330–342. Crossref. Web.
10.1080/00313220307592	12	american-sociological-association	Lentin, Ronit. 2003. “Pregnant Silence: (en)gendering Ireland’s Asylum Space.” Patterns of Prejudice 37(3):301–22. Retrieved (http://dx.doi.org/10.1080/00313220307592).
10.1016/b978-0-240-81070-6.00021-1	13	council-of-science-editors	1. Anon. Managing and Supporting Multiple Projects. Producing Games [Internet]. 2010:149–152. Available from: http://dx.doi.org/10.1016/b978-0-240-81070-6.00021-1
10.1016/b978-0-240-81070-6.00021-1	13	american-sociological-association	Anon. 2010. “Managing and Supporting Multiple Projects.” Producing Games 149–52. Retrieved (http://dx.doi.org/10.1016/b978-0-240-81070-6.00021-1).
10.1123/jlas.2015-0010	14	apa	Baker, T. A. (2015). Editor’s NoteBaker, T.A. & Connaughton, D.P. (2003). Cureton v. NCAA: A blow-by-blow account of the landmark Title VI challenges and their recent implications. Journal of Legal Aspects of Sport, 13, 145–179. Journal of Legal Aspects of Sport, 25(2), 73–74. doi:10.1123/jlas.2015-0010
10.1002/9780470642818.app2	15	turabian-fullnote-bibliography	“Appendix B: (Chapter 7).” Microcellular Injection Molding (July 21, 2010): 587–588. http://dx.doi.org/10.1002/9780470642818.app2.
10.1002/9780470642818.app2	15	council-of-science-editors	1. Anon. Appendix B: (Chapter 7). Microcellular Injection Molding [Internet]. 2010 July 21:587–588. Available from: http://dx.doi.org/10.1002/9780470642818.app2
10.1002/9780470642818.app2	15	chicago-annotated-bibliography	“Appendix B: (Chapter 7).” Microcellular Injection Molding (July 21, 2010): 587–588. doi:10.1002/9780470642818.app2.
10.1103/physrevb.87.195134	16	iso690-author-date-en	IACONIS, Jason, INGLIS, Stephen, KALLIN, Ann B. and MELKO, Roger G., 2013, Detecting classical phase transitions with Renyi mutual information. Physical Review B [online]. 28 May 2013. Vol. 87, no. 19. DOI 10.1103/physrevb.87.195134. Available from: http://dx.doi.org/10.1103/physrevb.87.195134
10.1016/s0160-3450(15)30458-x	17	american-chemical-society-author-date	Gordon Taylor, H. Family Violence and the Community Pharmacist. American Pharmacy 1994, 34, 41–44.
10.1016/s0160-3450(15)30458-x	17	apa	Gordon Taylor, H. (1994). Family Violence and the Community Pharmacist. American Pharmacy, 34(4), 41–44. doi:10.1016/s0160-3450(15)30458-x
10.1524/zpch.1974.92.1-3.163	18	iso690-author-date-en	BENNDORF, C. and THIEME, F., 1974, Zur Bedeckungsabhängigkeit der Desorptionsaktivierungsenergie des Wasserstoffs vonNi-Aufdampfschichten. Zeitschrift für Physikalische Chemie [online]. September 1974. Vol. 92, no. 1-3, p. 163–166. DOI 10.1524/zpch.1974.92.1-3.163. Available from: http://dx.doi.org/10.1524/zpch.1974.92.1-3.163
10.1524/zpch.1974.92.1-3.163	18	chicago-annotated-bibliography	Benndorf, C., and F. Thieme. “Zur Bedeckungsabhängigkeit Der Desorptionsaktivierungsenergie Des Wasserstoffs vonNi-Aufdampfschichten.” Zeitschrift Für Physikalische Chemie 92, no. 1–3 (September 1974): 163–166. doi:10.1524/zpch.1974.92.1-3.163.
10.1524/zpch.1974.92.1-3.163	18	ieee	[1]C. Benndorf and F. Thieme, “Zur Bedeckungsabhängigkeit der Desorptionsaktivierungsenergie des Wasserstoffs vonNi-Aufdampfschichten,” Zeitschrift für Physikalische Chemie, vol. 92, no. 1–3, pp. 163–166, Sep. 1974.
10.1057/9780230337190_6	19	mcgill-en	Lorenzo, Oswaldo et al. “The next technology wave” (2011) The Long Conversation 102, online: <http://dx.doi.org/10.1057/9780230337190_6>.
10.1057/9780230337190_6	19	american-medical-association	1. Lorenzoo O, Kawalek P, González G, Ramdani B. The next technology wave. The Long Conversation. 2011:102–113. doi:10.1057/9780230337190_6.
10.1057/9780230337190_6	19	american-chemical-society-author-date	Lorenzo, O.; Kawalek, P.; González, G.; Ramdani, B. The Next Technology Wave. The Long Conversation 2011, 102–113.
10.1057/9780230337190_6	19	american-sociological-association	Lorenzo, Oswaldo, Peter Kawalek, Gastón González, and Boumediene Ramdani. 2011. “The Next Technology Wave.” The Long Conversation 102–13. Retrieved (http://dx.doi.org/10.1057/9780230337190_6).
10.2307/600516	20	modern-humanities-research-association	Srinivasan, Doris, ‘The Myth of the Panis in the Rig Veda’, Journal of the American Oriental Society, 93 (1973), 44 <doi:10.2307/600516>
10.2307/600516	20	american-sociological-association	Srinivasan, Doris. 1973. “The Myth of the Panis in the Rig Veda.” Journal of the American Oriental Society 93(1):44. Retrieved (http://dx.doi.org/10.2307/600516).
10.2307/600516	20	chicago-annotated-bibliography	Srinivasan, Doris. “The Myth of the Panis in the Rig Veda.” Journal of the American Oriental Society 93, no. 1 (January 1973): 44. doi:10.2307/600516.
10.1164/ajrccm-conference.2012.185.1_meetingabstracts.a1238	21	mcgill-en	Abdul Salam, Vahitha B et al. “Chloride Intracellular Channel Protein-4 In The Vascular Dysfunction Of Pulmonary Arterial Hypertension” (2012) A29 PATHOGENESIS OF PULMONARY HYPERTENSION, online: <http://dx.doi.org/10.1164/ajrccm-conference.2012.185.1_meetingabstracts.a1238>.
10.1093/ww/9780199540884.013.u29111	22	turabian-fullnote-bibliography	“Owen, Trevor Bryan, (born 3 April 1928), Chairman: Bethlem Royal and Maudsley Special Health Authority, 1988–94; Committee of Management, Institute of Psychiatry, 1990–97.” Who’s Who (December 1, 2007). http://dx.doi.org/10.1093/ww/9780199540884.013.u29111.
10.1093/ww/9780199540884.013.u29111	22	modern-humanities-research-association	‘Owen, Trevor Bryan, (born 3 April 1928), Chairman: Bethlem Royal and Maudsley Special Health Authority, 1988–94; Committee of Management, Institute of Psychiatry, 1990–97’, Who’s Who, 2007 <doi:10.1093/ww/9780199540884.013.u29111>
10.1016/j.apjtb.2017.09.023	23	iso690-author-date-en	KHALIL, Amira S., HUSSEIN, Nawfal R. and SHAMDEEN, Maida Y., 2017, Impact of maternal HBsAg carrier status on pregnancy outcomes in Duhok city, Iraq. Asian Pacific Journal of Tropical Biomedicine [online]. November 2017. Vol. 7, no. 11, p. 1010–1013. DOI 10.1016/j.apjtb.2017.09.023. Available from: http://dx.doi.org/10.1016/j.apjtb.2017.09.023
10.1016/j.apjtb.2017.09.023	23	mcgill-en	Khalil, Amira S, Nawfal R Hussein & Maida Y Shamdeen. “Impact of maternal HBsAg carrier status on pregnancy outcomes in Duhok city, Iraq” (2017) 7:11 Asian Pacific Journal of Tropical Biomedicine 1010, online: <http://dx.doi.org/10.1016/j.apjtb.2017.09.023>.
10.1016/j.apjtb.2017.09.023	23	american-sociological-association	Khalil, Amira S., Nawfal R. Hussein, and Maida Y. Shamdeen. 2017. “Impact of Maternal HBsAg Carrier Status on Pregnancy Outcomes in Duhok City, Iraq.” Asian Pacific Journal of Tropical Biomedicine 7(11):1010–13. Retrieved (http://dx.doi.org/10.1016/j.apjtb.2017.09.023).
10.1016/j.apjtb.2017.09.023	23	modern-humanities-research-association	Khalil, Amira S., Nawfal R. Hussein, and Maida Y. Shamdeen, ‘Impact of Maternal HBsAg Carrier Status on Pregnancy Outcomes in Duhok City, Iraq’, Asian Pacific Journal of Tropical Biomedicine, 7 (2017), 1010–1013 <doi:10.1016/j.apjtb.2017.09.023>
10.1093/shm/2.2.235	24	apa	CANTOR, D. (1989). Reviews. Social History of Medicine, 2(2), 235–236. doi:10.1093/shm/2.2.235
10.1093/shm/2.2.235	24	american-society-of-mechanical-engineers	[1] CANTOR D., 1989, “Reviews,” Social History of Medicine, 2(2), pp. 235–236.
10.1093/shm/2.2.235	24	mcgill-en	CANTOR, DAVID. “Reviews” (1989) 2:2 Social History of Medicine 235, online: <http://dx.doi.org/10.1093/shm/2.2.235>.
10.1093/shm/2.2.235	24	acm-sig-proceedings	[1]CANTOR, D. 1989. Reviews. Social History of Medicine. 2, 2 (1989), 235–236.
10.1086/302208	25	iso690-author-date-en	ZHAO, Hongyu, 1999, The Interpretation of the Parameters in the Transmission/Disequilibrium Test. The American Journal of Human Genetics [online]. January 1999. Vol. 64, no. 1, p. 326–328. DOI 10.1086/302208. Available from: http://dx.doi.org/10.1086/302208
10.1086/302208	25	acm-sig-proceedings	[1]Zhao, H. 1999. The Interpretation of the Parameters in the Transmission/Disequilibrium Test. The American Journal of Human Genetics. 64, 1 (Jan. 1999), 326–328.
10.7219/jjses.32.2_31	26	modern-humanities-research-association	OKADA, Yuuki, Yusuke SUENAGA, Daisuke TAKATA, Kazuya SHIRAHATA, and Takeo TAKAHASHI, ‘Examining Effectiveness of Three Circle Ball as a Task Game for Goal Type –ball Game’, Japanese Journal of Sport Education Studies, 32 (2013), 31–46 <doi:10.7219/jjses.32.2_31>
10.7219/jjses.32.2_31	26	american-sociological-association	OKADA, Yuuki, Yusuke SUENAGA, Daisuke TAKATA, Kazuya SHIRAHATA, and Takeo TAKAHASHI. 2013. “Examining Effectiveness of Three Circle Ball as a Task Game for Goal Type –ball Game.” Japanese Journal of Sport Education Studies 32(2):31–46. Retrieved (http://dx.doi.org/10.7219/jjses.32.2_31).
10.7219/jjses.32.2_31	26	council-of-science-editors	1. OKADA Y, SUENAGA Y, TAKATA D, SHIRAHATA K, TAKAHASHI T. Examining effectiveness of three circle ball as a task game for goal type –ball game. Japanese Journal of Sport Education Studies [Internet]. 2013;32(2):31–46. Available from: http://dx.doi.org/10.7219/jjses.32.2_31
10.7219/jjses.32.2_31	26	chicago-annotated-bibliography	OKADA, Yuuki, Yusuke SUENAGA, Daisuke TAKATA, Kazuya SHIRAHATA, and Takeo TAKAHASHI. “Examining Effectiveness of Three Circle Ball as a Task Game for Goal Type –ball Game.” Japanese Journal of Sport Education Studies 32, no. 2 (2013): 31–46. doi:10.7219/jjses.32.2_31.
10.18778/0208-6021.310.01	27	acm-sig-proceedings	[1]Gajdka, J. 2015. Introduction. Acta Universitatis Lodziensis. Folia oeconomica. 1, 310 (2015).
10.18778/0208-6021.310.01	27	american-chemical-society-author-date	Gajdka, J. Introduction. Acta Universitatis Lodziensis. Folia oeconomica 2015, 1.
10.1177/2058460115578324	28	iso690-author-date-en	EWERTSEN, Caroline, KONDZIELLA, Daniel, DANIELSEN, Else R and THOMSEN, Carsten, 2015, Good outcome after posterior reversible encephalopathy syndrome (PRES) despite elevated cerebral lactate: a case report. Acta Radiologica Open [online]. June 2015. Vol. 4, no. 6, p. 205846011557832. DOI 10.1177/2058460115578324. Available from: http://dx.doi.org/10.1177/2058460115578324
10.1007/bf02227356	29	council-of-science-editors	1. Herff O. Ein Beitrag zur vaginalen Total-Exstirpation der Gebärmutter. Archiv für Gynäkologie [Internet]. 1885 June;26(2):315–326. Available from: http://dx.doi.org/10.1007/bf02227356
10.1007/978-3-540-87866-7_147	30	american-society-of-mechanical-engineers	[1] Sukhoruchkin S. I., and Soroko Z. N., 2009, “Neutron Resonance Parameters for Ag-107 (Silver),” Landolt-Börnstein - Group I Elementary Particles, Nuclei and Atoms, pp. 2305–2334.
10.1007/978-3-540-87866-7_147	30	iso690-author-date-en	SUKHORUCHKIN, S.I. and SOROKO, Z.N., 2009, Neutron Resonance Parameters for Ag-107 (Silver). Landolt-Börnstein - Group I Elementary Particles, Nuclei and Atoms [online]. 2009. P. 2305–2334. DOI 10.1007/978-3-540-87866-7_147. Available from: http://dx.doi.org/10.1007/978-3-540-87866-7_147
10.1007/978-3-540-87866-7_147	30	ieee	[1]S. I. Sukhoruchkin and Z. N. Soroko, “Neutron Resonance Parameters for Ag-107 (Silver),” Landolt-Börnstein - Group I Elementary Particles, Nuclei and Atoms, pp. 2305–2334, 2009.
10.1007/978-3-540-87866-7_147	30	chicago-annotated-bibliography	Sukhoruchkin, S.I., and Z.N. Soroko. “Neutron Resonance Parameters for Ag-107 (Silver).” Landolt-Börnstein - Group I Elementary Particles, Nuclei and Atoms (2009): 2305–2334. doi:10.1007/978-3-540-87866-7_147.
10.1080/01411599308207815	31	american-medical-association	1. Zapart MB, Zapart W. Investigations of incommensurate phase in KSc(WO4)2. Phase Transitions. 1993;43(1-4):173–178. doi:10.1080/01411599308207815.
10.1590/0102-311x00120215	32	american-medical-association	1. Arroyave LJO, Restrepo-Méndez MC, Horta BL, Menezes AMB, Gigante DP, Gonçalves H. Tendências e desigualdades nos comportamentos de risco em adolescentes: comparação das coortes de nascimentos de Pelotas, Rio Grande do Sul, Brasil. Cadernos de Saúde Pública. 2016;32(9). doi:10.1590/0102-311x00120215.
10.1590/0102-311x00120215	32	ieee	[1]L. J. O. Arroyave, M. C. Restrepo-Méndez, B. L. Horta, A. M. B. Menezes, D. P. Gigante, and H. Gonçalves, “Tendências e desigualdadess nos comportamentos de risco em adolescentes: comparação das coortes de nascimentos de Pelotas, Rio Grande do Sul, Brasil,” Cadernos de Saúde Pública, vol. 32, no. 9, 2016.
10.1590/0102-311x00120215	32	council-of-science-editors	1. Arroyave LJO, Restrepo-Méndez MC, Horta BL, Menezes AMB, Gigante DP, Gonçalves H. Tendências e desigualdades nos comportamentos de risco em adolescentes: comparação das coortes de nascimentos de Pelotas, Rio Grande do Sul, Brasil. Cadernos de Saúde Pública [Internet]. 2016;32(9). Available from: http://dx.doi.org/10.1590/0102-311x00120215
10.1007/978-1-4939-2140-9_1	33	modern-language-association	Esteves, Sandro C., Glenn L. Schattman, and Ashok Agarwal. “Definitions and Relevance of Unexplained Infertility in Reproductive Medicine.” Unexplained Infertility (2015): 3–5. Crossref. Web.
10.1007/978-1-4939-2140-9_1	33	mcgill-en	Esteves, Sandro C, Glenn L Schattman & Ashok Agarwal. “Definitions and Relevance of Unexplained Infertility in Reproductive Medicine” (2015) Unexplained Infertility 3, online: <http://dx.doi.org/10.1007/978-1-4939-2140-9_1>.
10.1016/j.appet.2014.12.110	34	american-society-of-mechanical-engineers	[1] Finnikin S., 2015, “Weight perception and knowledge of health implications amongst primary care populations,” Appetite, 87, p. 373.
10.1016/j.appet.2014.12.110	34	chicago-annotated-bibliography	Finnikin, S. “Weight Perception and Knowledge of Health Implications Amongst Primary Care Populations.” Appetite 87 (April 2015): 373. doi:10.1016/j.appet.2014.12.110.
10.1007/978-3-319-78169-3_14	35	american-society-of-mechanical-engineers	[1] Pistoiaa E., 2018, “The EU and the Turkish Recognition of the Armenian ‘Genocide’ in the Broader Framework of the EU External Action: A Tale of Possibilities Yet to Be Explored,” The Armenian Massacres of 1915–1916 a Hundred Years Later, pp. 313–332.
10.1007/978-3-322-98586-6_5	36	american-sociological-association	Stuchlik, Franz. 1968. “Einsatzmöglichkeiten.” Programmgesteuertee Universalrechner 72–74. Retrieved (http://dx.doi.org/10.1007/978-3-322-98586-6_5).
10.1007/978-3-322-98586-6_5	36	chicago-annotated-bibliography	Stuchlik, Franz. “Einsatzmöglichkeiten.” Programmgesteuerte Universalrechner (1968): 72–74. doi:10.1007/978-3-322-98586-6_5.
10.1007/978-3-322-98586-6_5	36	iso690-author-date-en	STUCHLIK, Franz, 1968, Einsatzmöglichkeiten. Programmgesteuerte Universalrechner [online]. 1968. P. 72–74. DOI 10.1007/978-3-322-98586-6_5. Available from: http://dx.doi.org/10.1007/978-3-322-98586-6_5
10.1007/978-3-322-98586-6_5	36	mcgill-en	Stuchlik, Franz. “Einsatzmöglichkeiten” (1968) Programmgesteuerte Universalrechner 72, online: <http://dx.doi.org/10.1007/978-3-322-98586-6_5>.
10.1007/978-3-322-98586-6_5	36	ieee	[1]F. Stuchlik, “Einsatzmöglichkeiten,” Programmgesteuerte Universalrechner, pp. 72–74, 1968.
10.1109/leos.2005.1547999	37	apa	Sandvik, P., Burr, K., Soloviev, S., Arthur, S., Matocha, K., Kretchmer, J., … Brown, D. (2005). SiC photodetectors for industrial applications. 2005 IEEE LEOS Annual Meeting Conference Proceedings. doi:10.1109/leos.2005.1547999
10.1109/leos.2005.1547999	37	iso690-author-date-en	SANDVIK, P., BURR, K., SOLOVIEV, S., ARTHUR, S., MATOCHA, K., KRETCHMER, J., LOMBARDO, L. and BROWN, D., 2005, SiC photodetectors for industrial applications. 2005 IEEE LEOS Annual Meeting Conference Proceedings [online]. 2005. DOI 10.1109/leos.2005.1547999. Available from: http://dx.doi.org/10.1109/leos.2005.1547999
10.1109/leos.2005.1547999	37	acm-sig-proceedings	[1]Sandvik, P. et al. 2005. SiC photodetectors for industrial applications. 2005 IEEE LEOS Annual Meeting Conference Proceedings. (2005).
10.1109/leos.2005.1547999	37	chicago-annotated-bibliography	Sandvik, P., K. Burr, S. Soloviev, S. Arthur, K. Matocha, J. Kretchmer, L. Lombardo, and D. Brown. “SiC Photodetectors for Industrial Applications.” 2005 IEEE LEOS Annual Meeting Conference Proceedings (2005). doi:10.1109/leos.2005.1547999.
10.1007/978-1-4684-7968-3_3	38	american-sociological-association	Duttagupta, Ashish K., and David L. Shellenbarger. 1980. “Genetics of Minute Locus in Drosophila Melanogaster.” Development and Neurobiology of Drosophila 25–33. Retrieved (http://dx.doi.org/10.1007/978-1-4684-7968-3_3).
10.1143/jpsj.57.2401	39	mcgill-en	Ikuta, Nobuaki, Akihide Takeda & Kohji Yamamoto. “Transport Characteristics of Electron Swarm in Model Ramsauer Gases under Electric Field” (1988) 57:7 Journal of the Physical Society of Japan 2401, online: <http://dx.doi.org/10.1143/jpsj.57.2401>.
10.1143/jpsj.57.2401	39	chicago-annotated-bibliography	Ikuta, Nobuaki, Akihidee Takeda, and Kohji Yamamoto. “Transport Characteristics of Electron Swarm in Model Ramsauer Gases Under Electric Field.” Journal of the Physical Society of Japan 57, no. 7 (July 15, 1988): 2401–2415. doi:10.1143/jpsj.57.2401.
10.1143/jpsj.57.2401	39	modern-humanities-research-association	Ikuta, Nobuaki, Akihide Takeda, and Kohji Yamamoto, ‘Transport Characteristics of Electron Swarm in Model Ramsauer Gases Under Electric Field’, Journal of the Physical Society of Japan, 57 (1988), 2401–2415 <doi:10.1143/jpsj.57.2401>
10.1143/jpsj.57.2401	39	apa	Ikuta, N., Takeda, A., & Yamamoto, K. (1988). Transport Characteristics of Electron Swarm in Model Ramsauer Gases under Electric Field. Journal of the Physical Society of Japan, 57(7), 2401–2415. doi:10.1143/jpsj.57.2401
10.1139/p89-136	40	ieee	[1]A. B. McDonald, “Nuclear tests of fundamental interactions,” Canadian Journal of Physics, vol. 67, no. 8, pp. 785–791, Aug. 1989.
10.1139/p89-136	40	iso690-author-date-en	MCDONALD, A. B., 1989, Nuclear tests of fundamental interactions. Canadian Journal of Physics [online]. August 1989. Vol. 67, no. 8, p. 785–791. DOI 10.1139/p89-136. Available from: http://dx.doi.org/10.1139/p89-136
10.1139/p89-136	40	american-society-of-mechanical-engineers	[1] McDonald A. B., 1989, “Nuclear tests of fundamental interactions,” Canadian Journal of Physics, 67(8), pp. 785–791.
10.1111/josp.12137	41	american-society-of-mechanical-engineers	[1]2015, “Recognition of Reviewers,” Journall of Social Philosophy, 46(4), pp. 393–397.
10.1037/e518572013-264	42	iso690-author-date-en	CANALI, Kristophor G., LEWIS, W. Robert, FERRIS, Jonathan and BARNES-FARRELL, Janet L., 2006, The Role of Social Discomfort in Understanding Performance Appraisal Anxiety. PsycEXTRA Dataset [online]. 2006. DOI 10.1037/e518572013-264. Available from: http://dx.doi.org/10.1037/e518572013-264
10.1037/e518572013-264	42	american-society-of-mechanical-engineers	[1] Canali K. G., Lewis W. R., Ferris J., and Barnes-Farrell J. L., 2006, “The Role of Social Discomfort in Understanding Performance Appraisal Anxiety,” PsycEXTRA Dataset.
